거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
(주)낙원포장,PP15MPP15M／M9.5KG(적색),2,7.0,0.0,285.0,2025-09-23,118,69.5,일회성
주식회사 광림파워팩,PP12MPP12M／M10KG(황),20,37.9,22.4,704.0,2025-12-31,19,69.5,불규칙
(주)낙원포장,PE28mm 2kgPE28M／M(백)2KG,4,180.7,33.1,55.0,2025-11-20,60,69.5,불규칙
한길포장기계,PP9MMPP9M／M10KG(투명),10,54.3,32.5,148.0,2026-01-05,14,69.4,불규칙
세웅실업,PP9MMPP9M／M10KG(투명),2,329.0,0.0,100.0,2025-09-18,123,69.3,일회성
상일교역상사,"12 x 3,017M 0.55T12x3,017M 0.55T 백색",6,105.4,21.2,13686.84,2025-08-13,159,69.2,불규칙
서울상사,PP15MPP15MM*10KG(황색),7,118.2,47.8,580.0,2025-12-19,31,69.1,불규칙
삼원산업,PP12MPP12M／M12KG(황),8,88.0,39.4,825.0,2025-12-02,48,69.0,불규칙
NZ SAFETY BLACKWOODS,"12 x 3,000M 0.60T12x3,000M0.60TCLEAR",9,71.9,28.5,2244.0,2025-08-19,153,68.8,불규칙
금산포장,PE28mm 2kgPE28M／M(백)2KG,33,20.1,12.0,262.42,2025-12-22,28,68.7,불규칙
현대테크,PP12MPP12M／M10KG(황),5,151.8,28.4,1108.0,2025-09-15,126,68.7,불규칙
천일포장산업,PE28mm 2kgPE28M／M(백)2KG,28,25.9,14.9,800.0,2025-12-01,49,68.6,불규칙
RLBUTTON,PP19M BUILDERSPP19M／M*300M 0.60T Blue,8,97.4,45.8,678.6,2025-12-16,34,68.6,불규칙
H.E. BAUMRUCKER COMPANY,"9 x 3,932M 0.61T9 x 3,932M 0.61T 백색",6,105.2,27.6,4240.8,2025-09-27,114,68.6,불규칙
동서포장종합상사,PE28mm 2kgPE28M／M(백)2KG,23,31.2,18.5,106.96,2025-12-18,32,68.5,불규칙
광림포장기계,PP15MPP15M／M10KG(적),2,371.0,0.0,750.0,2025-09-05,136,68.5,일회성
KONZ TRADING LTD.,"15 x 2,500M 0.64T15 x 2,500M 0.64T 청색",5,152.5,40.0,7525.0,2025-11-12,68,68.2,불규칙
KONZ TRADING LTD.,Ocean FreightOcean Freight (선임),5,152.5,40.0,1.0,2025-11-12,68,68.2,불규칙
그린포장,PE28mm 2kgPE28M／M(백)2KG,5,104.2,26.7,244.0,2025-11-01,79,67.9,불규칙
합동포장기계,PP15MPP15M／M13KG(황),20,38.6,24.4,195.65,2026-01-05,14,67.7,불규칙
TIGERPAK PACKAGING,PP19M Premium BlackPP19M／M*1000M 0.7T Black,10,78.1,48.3,3549.6,2025-12-25,25,67.7,불규칙
주신산업,PP12MPP12M／M10KG(황),15,44.6,27.9,714.67,2025-12-31,19,67.7,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,"15 x 1,000M 0.7T H/D Black15 x 1,000M 0.7T H/D Black",8,96.3,47.0,1045.25,2025-12-14,36,67.6,불규칙
석종수출포장,PP7MPP7M10KG백색,4,187.3,33.6,490.0,2025-10-10,101,67.5,불규칙
경인팩,PP6MMPP6M／M10KG(청),7,106.0,47.6,248.57,2025-12-29,21,67.4,불규칙
전주삼신산업,PE28mm 2kgPE28M／M(백)2KG,55,13.1,7.9,245.82,2025-12-09,41,67.4,불규칙
에이원코리아,PE28mm 2kgPE28M／M(백)2KG,2,126.0,0.0,70.0,2025-08-14,158,67.3,일회성
성신목재,부자재마대,4,166.3,24.6,37.5,2025-09-05,136,67.2,불규칙
한국포장기계,운송료,7,71.2,32.3,1.57,2025-12-29,21,67.1,불규칙
백암지관공업사,PP12MPP12M／M12.5KG (황),8,85.1,38.2,260.94,2025-10-28,83,67.0,불규칙
신우교역,PP12MPP12M／M10KG(황),6,109.4,24.0,1000.0,2025-07-18,185,66.9,휴면
우선산업,"PE50mm, 4.5KGPE50M／M(백)4.5KG",16,18.1,11.5,855.0,2025-12-24,26,66.8,불규칙
CYKLOP PACKAGING SYSTEMS PTY LTD.,"15 x 1,000M 0.65T Blue15x1,000M0.65T청색",9,88.1,50.8,2746.67,2025-12-25,25,66.8,불규칙
주식회사 삼우텍,운송료,4,233.3,59.6,7.75,2025-12-04,46,66.7,불규칙
신광포장기계(부산),운송료,10,74.6,43.4,6.6,2025-11-04,76,66.7,불규칙
ANDERSON WHOLESALE PACKAGING PTY LTD.,"15 x 1,000M 0.60T Blue15x1,000M0.60T청색",2,195.0,0.0,110.0,2025-08-01,171,66.6,일회성
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP 11.5MM 2000M 0.75MM BLACK11.5mm 2000m 0.75mm Black Core 406mm,7,101.2,35.7,1696.0,2025-09-18,123,66.6,불규칙
세움패키지(SEUMPKG),운송료,26,24.8,15.6,1.04,2025-12-16,34,66.6,불규칙
동원팩,PP6MM매달100롤 할인,5,31.2,8.9,-1000.0,2025-11-04,76,66.6,불규칙
(주)낙원포장,PP10.5MPP10.5M10KG투명,15,45.3,29.1,800.0,2025-12-23,27,66.4,불규칙
KOMERI,"15.5 x 2,500M 0.55T15.5x2,500M0.55T청색",11,63.7,38.9,2067.55,2025-11-23,57,66.3,불규칙
(주)탐스텍,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",6,142.2,58.4,2356.2,2025-12-29,21,66.3,불규칙
신광포장기계,PP15MPP15M／M10KG(백색),24,29.8,18.1,372.92,2025-11-19,61,66.3,불규칙
동방포장기자재,PP12MPP12M／M10KG(황),11,64.4,39.5,1073.64,2025-11-24,56,66.2,불규칙
신광포장기계,PP12MPP12M／M10KG(청),2,12.0,0.0,55.0,2025-07-22,181,66.1,휴면
경인팩,"PE28mm, 6KGPE28M／M(백)6KG",72,10.2,6.7,788.67,2025-12-30,20,66.0,불규칙
합동포장기계,스트레치필름(일반 기계랩)20*500mm*1400m,8,43.0,21.9,29.38,2025-12-01,49,65.9,불규칙
태광오토팩,PP8MPP8M／M9KG(백),13,54.5,34.3,505.38,2025-12-01,49,65.8,불규칙
TIGERPAK PACKAGING,12 x 2800M 0.60T12 x 2800M 0.60T BLACK,3,186.5,31.5,7685.81,2025-10-24,87,65.8,불규칙
PARAMOUNT PAPER MERCHANTS PTY LTD.,"12 x 3,000M 0.65T12x3,000M0.65T BLUE",3,262.0,47.0,1365.0,2025-11-02,78,65.8,불규칙
PARAMOUNT PAPER MERCHANTS PTY LTD.,팔레트팔레트,3,262.0,47.0,11.0,2025-11-02,78,65.8,불규칙
PARAMOUNT PAPER MERCHANTS PTY LTD.,Ocean FreightOcean Freight (선임),3,262.0,47.0,1.0,2025-11-02,78,65.8,불규칙
PARAMOUNT PAPER MERCHANTS PTY LTD.,"12 x 3,000M 0.55T12 x 3,000M 0.55T 청색",3,262.0,47.0,1440.0,2025-11-02,78,65.8,불규칙
주식회사 광림파워팩,PP9MMPP9M／M10KG(황),30,24.7,16.4,1016.0,2025-12-31,19,65.6,불규칙
대상산업,"PE28mm, 6KGPE28M／M(백)6KG",98,7.3,4.7,232.9,2025-12-12,38,65.5,불규칙
CYKLOP PACKAGING SYSTEMS PTY LTD.,PP 05MM05MM x 7000 x 0.50MM Blue,7,120.3,58.1,2430.0,2025-12-25,25,65.5,불규칙
주식회사 되살림패키지,PP12MPP12M／M10KG(백),3,193.0,32.0,320.0,2025-10-16,95,65.5,불규칙
대상산업,PP12MPP12M／M10KG(황),7,103.0,50.6,114.29,2026-01-02,17,65.5,불규칙
