,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
(주)지산페이퍼,13,5,17.8,17.5,12.3,5,31,2015-09-15 0:00,2015-11-25 0:00,71,737.33,1110840,불규칙적
가골식품,13,10,183.6,80,311.2,38,1059,2021-01-13 0:00,2025-07-23 0:00,1652,195.8,681720,불규칙적
대영포장(주)발안,13,6,17.8,19,11.2,1,32,2021-02-03 0:00,2021-05-03 0:00,89,3660,6673500,불규칙적
주식회사 되살림패키지,13,8,220,179,165.8,29,581,2021-07-29 0:00,2025-10-16 0:00,1540,280.88,956625,불규칙적
DAINDO OFFSET,13,11,134.1,120.5,54.8,77,242,2010-05-17 0:00,2014-01-17 0:00,1341,11280,24010052,규칙적
신영글로벌 주식회사,12,10,286.3,321,159,45,446,2017-11-27 0:00,2024-12-17 0:00,2577,234.4,882500,불규칙적
성신목재,12,11,202.6,171.5,94.1,50,393,2020-02-18 0:00,2025-09-05 0:00,2026,57.45,195636,규칙적
MING PAK (AUST) PTY. LTD.,12,2,168,168,0,168,168,2012-07-06 0:00,2012-12-21 0:00,168,9082,19776534,규칙적
승일제대 주식회사,12,6,234.8,253,62,115,286,2022-06-16 0:00,2025-09-02 0:00,1174,42,152133,규칙적
범영산업 (익산),12,11,141.6,120,85.9,36,355,2011-11-14 0:00,2015-09-30 0:00,1416,218.18,660909,불규칙적
진로특수포장기계,12,12,270.5,255,75.2,193,472,2017-05-17 0:00,2025-07-10 0:00,2976,105,343333,규칙적
대일밴드상사,12,12,306.7,189,302.8,80,1157,2010-08-17 0:00,2019-11-12 0:00,3374,76.67,227583,불규칙적
ONARE,12,2,232,232,0,232,232,2011-02-27 0:00,2011-10-17 0:00,232,10705,24761542,규칙적
고림포장주식회사,11,11,101.9,104.5,58.4,5,201,2021-07-08 0:00,2024-04-22 0:00,1019,387.78,971056,불규칙적
경인두채영농조합법인,11,10,163.9,140,90.5,63,404,2021-06-23 0:00,2025-07-07 0:00,1475,565,1280400,불규칙적
