"회사명 : (주)케이아이씨 / 2000/01/01  ~ 2026/01/05  / 생산입고현황"
"월/일	","생산된공장	","입고창고	","품명 및 규격	","수량	","생산금액	","적요	",""
"10/01/29-5	","PP	","PP	","15 x 100M 0.55T [15x100M0.55T백색]	","128.700","0","	",""
"10/01/29-6	","PP	","PP	","PP9MM [PP9M／M10KG(황)]	","880.000","0","	",""
"10/01/29-6	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","300.000","0","	",""
"10/01/29-6	","PP	","PP	","PP15M [PP15M／M13KG]	","1,820.000","0","	",""
"10/01/29-6	","PP	","PP	","PP15M [PP15M／M10KG(황)]	","1,000.000","0","	",""
"10/01/30-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","576.000","0","야간	",""
"10/01/30-2	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","700.000","0","야간	",""
"10/01/30-2	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","720.000","0","야간	",""
"10/01/30-3	","PE	","PE	","PE28mm 2kg [PE28M／M(백)2KG]	","1,200.000","0","주간	",""
"10/01/30-3	","PE	","PE	","PE50mm, 6KG [PE50M／M(적)6KG]	","600.000","0","주간	",""
"10/01/30-5	","PP	","PP	","PP 12MM [12MM1000M0.55MMBlue]	","465.000","0","	",""
"10/01/30-5	","PP	","PP	","12 x 3,000M 0.60T [12x3,000M0.60TCLEAR]	","970.600","0","	",""
"10/01/30-6	","PP	","PP	","PP 12MM [12MM1000M0.55MMBlue]	","390.600","0","	",""
"10/01/30-7	","PP	","PP	","PP12M [PP12M／M12.5(황)]	","1,025.000","0","	",""
"10/01/30-7	","PP	","PP	","PP15M [PP15M／M13KG]	","390.000","0","	",""
"10/02/01-6	","PP	","PP	","PP 12MM [12MM 1000M 0.55MM Blue]	","291.400","0","#2 주간 2/1	",""
"10/02/01-6	","PP	","PP	","12 x 3,000M 0.60T [12 x 3,000M 0.60T CLEAR]	","652.800","0","#1 주간 2/1	",""
"10/02/01-7	","PP	","PP	","PP12M [PP 12M／M 12.5(황)]	","525.000","0","#3 주간 2/1	",""
"10/02/01-8	","PP	","PP	","PP 12MM [12MM 1000M 0.55MM Blue]	","713.000","0","#2 야간(조,론,루스탐)2/1	",""
"10/02/01-8	","PP	","PP	","12 x 3,000M 0.60T [12 x 3,000M 0.60T CLEAR]	","877.200","0","#1 야간(조,론,루스탐)2/1	",""
"10/02/01-8	","PP	","PP	","PP19M HD Black [PP 19M／M * 1000M 1.0T Black]	","315.000","0","#2 야간(조,론,루스탐)2/1	",""
"10/02/01-9	","PP	","PP	","PP12M [PP 12M／M 12.5(황)]	","100.000","0","#2 야(조,론,루스탐) 2/1	",""
"10/02/01-10	","PP	","PP	","PP 12MM [12MM 1000M 0.55MM Blue]	","713.000","0","#2 야(조.론.루)	",""
"10/02/01-10	","PP	","PP	","12 x 3,000M 0.60T [12 x 3,000M 0.60T CLEAR]	","877.200","0","#1야(조.론.루)	",""
"10/02/01-10	","PP	","PP	","PP19M HD Black [PP 19M／M * 1000M 1.0T Black]	","315.000","0","#2야(조.론.루)	",""
"10/02/01-11	","PP	","PP	","PP12M [PP 12M／M 12.5(황)]	","425.000","0","#3야(조.론.루)	",""
"10/02/01-12	","PP	","PP	","PP12M [PP 12M／M 10KG(황)]	","500.000","0","#3야(조.론.루)	",""
