00~26 구매조회,,,,,,,,
일자-No.,거래처명,품목명,금액합계,거래유형,창고명,회계반영여부,인쇄,불러온 전표
20250915-1,삼광잉크제조(주),PP 진녹,138600,세금계산서,PP,Y,인쇄,조회
20250912-1,금성포장,KIC 450 [450*200] 외 3건,2624050,세금계산서,PP,Y,인쇄,조회
20250910-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20250909-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19536000,세금계산서,PE,Y,인쇄,조회
20250909-2,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1369632,세금계산서,PP,Y,인쇄,조회
20250909-1,주식회사 대한종합포장,4개입 박스 - 무인쇄 [445*440*215],847000,세금계산서,PP,Y,인쇄,조회
20250908-3,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,Y,인쇄,조회
20250908-2,(주)낙원포장,반자동밴딩기 [strapack IQ-400],935000,세금계산서,PP,Y,인쇄,조회
20250908-1,백암지관공업사,지관 50 [지관 50＊5＊225] 외 1건,2032800,세금계산서,PE,Y,인쇄,조회
20250905-3,일신케미칼,PP임가공 [PP임가공],4855400,세금계산서,PP,Y,인쇄,조회
20250905-2,덕흥수지,PP원료(A),22770000,세금계산서,PP,Y,인쇄,조회
20250905-1,금성포장,패드 570 [570*406],189420,세금계산서,PP,Y,인쇄,조회
20250904-5,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250904-4,재윤상사,팔레트 [1100*1300],264000,세금계산서,PP,Y,인쇄,조회
20250904-3,백암지관공업사,지관 406 [지관 406＊6＊155] 외 2건,1935516,세금계산서,PP,Y,인쇄,조회
20250904-2,성신목재,팔레트 1120＊1120 [1120＊1120] 외 2건,484000,세금계산서,PP,Y,인쇄,조회
20250904-1,(주)디에스에스,PET 15.5mm x 0.8T x 1280m [PET 15.5mm x 0.8T x 1280m Embossed Dark Green] 외 1건,2088000,영세율,상품,Y,인쇄,조회
20250902-2,에어팩코리아,에어백 APK-1022 (1000*2200) [에어백 1000*2200] 외 1건,635800,세금계산서,PP,Y,인쇄,조회
20250902-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20250901-3,금성포장,경인팩 [400＊200],673200,세금계산서,PP,Y,인쇄,조회
20250901-2,(주)경남캐미칼,MB 820FL [M／B 820FL（BLACK）],1375000,세금계산서,PP,Y,인쇄,조회
20250901-1,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250829-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1017016,세금계산서,PP,Y,인쇄,조회
20250828-1,백암지관공업사,지관 200 [지관 200＊8＊190],936936,세금계산서,PP,Y,인쇄,조회
20250827-2,제이케이머티리얼즈(주)/순성공장,PP원료,28867080,세금계산서,PP,Y,인쇄,조회
20250827-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1329328,세금계산서,PP,Y,인쇄,조회
20250826-2,금정기획,라벨(아트지도안 AWP) 2012 [115*55] 외 2건,303600,세금계산서,PP,Y,인쇄,조회
20250826-1,성신목재,팔레트 1050＊1050 [1050＊1050] 외 14건,902000,세금계산서,PP,Y,인쇄,조회
20250825-5,삼보팩,박스 외부 PE (폴리밴드) [320 190 780],1126400,세금계산서,PE,Y,인쇄,조회
20250825-4,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19800000,세금계산서,PE,Y,인쇄,조회
20250825-3,주식회사 대한종합포장,폴리 머신 스트랩 박스 무인쇄-5(알바니아) [420*200*420],1833150,세금계산서,PP,Y,인쇄,조회
20250825-2,금성포장,타이거팩 45000 C/T 320 [320*130*320] 외 3건,3950210,세금계산서,PP,Y,인쇄,조회
20250825-1,백암지관공업사,지관 200 [지관 200＊4＊189] 외 1건,1097096,세금계산서,PP,Y,인쇄,조회
20250821-3,대한유화 주식회사,5014 [pp원료],35112000,세금계산서,PP,Y,인쇄,조회
20250821-2,덕흥수지,PP원료(A),22770000,세금계산서,PP,Y,인쇄,조회
20250821-1,"주식회사 오비아이(OBI co.,Ltd.)",현장용 [1*180*50/타],396000,세금계산서,PP,Y,인쇄,조회
20250819-4,디엘에프엔씨 주식회사,PP원료 [재생],31284000,세금계산서,PP,Y,인쇄,조회
20250819-3,백암지관공업사,지관 200 [지관 200＊4＊189],784784,세금계산서,PP,Y,인쇄,조회
20250819-2,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250819-1,효창산업,CALPET [CALPET],5148000,세금계산서,PP,Y,인쇄,조회
20250814-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG] 외 1건,19800000,세금계산서,PP,Y,인쇄,조회
20250814-2,주식회사 대한종합포장,콜롬비아 1롤 - 무인쇄 [400*197*400] 외 3건,1845844,세금계산서,PP,Y,인쇄,조회
20250814-1,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）] 외 1건,2244000,세금계산서,PP,Y,인쇄,조회
20250812-3,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250812-2,대한유화 주식회사,5014 [pp원료],35112000,세금계산서,PP,Y,인쇄,조회
20250812-1,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],1155000,세금계산서,PP,Y,인쇄,조회
20250811-1,백암지관공업사,지관 200 [지관 200＊4＊189],1177176,세금계산서,PP,Y,인쇄,조회
20250808-2,일신케미칼,PP임가공 [PP임가공],4814040,세금계산서,PP,Y,인쇄,조회
20250808-1,(주)경남캐미칼,Silicone WAX (PP) 외 1건,888250,세금계산서,PP,Y,인쇄,조회
20250807-2,성신목재,팔레트 1230*800 [1230*800] 외 2건,660000,세금계산서,PP,Y,인쇄,조회
20250807-1,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG],3300000,세금계산서,PE,Y,인쇄,조회
20250806-1,주식회사 썬에이스,MF5000(PE원료) [MF5000P_500KG],16500000,세금계산서,PP,Y,인쇄,조회
20250805-3,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,2614216,세금계산서,PP,Y,인쇄,조회
20250805-2,(주)태진케미칼,PP원료 [PPA],12672000,세금계산서,PP,Y,인쇄,조회
20250805-1,성신목재,팔레트 1380＊920 [1380＊920] 외 6건,396000,세금계산서,PP,Y,인쇄,조회
20250804-4,덕흥수지,PP원료(A),22770000,세금계산서,PP,Y,인쇄,조회
20250804-3,재생산업,PP 재생원료 외 1건,32355400,세금계산서,PP,Y,인쇄,조회
20250804-2,백암지관공업사,지관 200 [지관 200＊4＊189] 외 2건,2034032,세금계산서,PP,Y,인쇄,조회
20250804-1,주식회사 대한종합포장,미국 수출용) 폴리 머신 스트랩 박스 [440*195*435],1473120,세금계산서,PP,Y,인쇄,조회
20250728-3,금성포장,패드 430 [패드 430＊200 무지],1655500,세금계산서,PP,Y,인쇄,조회
20250728-2,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],2475000,세금계산서,PE,Y,인쇄,조회
